AIRLINE,FL_DATE,ARR_DELAY,FL_NUMBER,ORIGIN_CITY,CANCELLED,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Hawaiian Airlines Inc.,2023-01-31,55.0,51,"New York, NY",0.0,0.0,55.0,0.0,0.0,0.0
Southwest Airlines Co.,2023-01-31,-22.0,1817,"Santa Barbara, CA",0.0,1.0,0.0,0.0,0.0,16.0
Endeavor Air Inc.,2023-01-31,-19.0,4795,"Huntsville, AL",0.0,0.0,0.0,1.0,0.0,40.0
Southwest Airlines Co.,2023-02-01,10.0,1854,"Denver, CO",0.0,7.0,0.0,27.0,0.0,0.0
Envoy Air,2023-02-01,-9.0,3496,"Lubbock, TX",1.0,0.0,16.0,32.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-01,-34.0,5188,"Hattiesburg/Laurel, MS",0.0,0.0,162.0,0.0,0.0,0.0
American Airlines Inc.,2023-02-01,1741.0,1009,"San Luis Obispo, CA",1.0,1732.0,0.0,9.0,0.0,0.0
American Airlines Inc.,2023-02-01,4.0,1314,"Birmingham, AL",1.0,0.0,19.0,0.0,0.0,0.0
Envoy Air,2023-02-01,33.0,3790,"Hartford, CT",0.0,0.0,0.0,7.0,0.0,26.0
Envoy Air,2023-02-01,7.0,3564,"Waterloo, IA",0.0,,,,,
United Air Lines Inc.,2023-02-01,-25.0,522,"Hayden, CO",0.0,0.0,0.0,17.0,0.0,0.0
Southwest Airlines Co.,2023-02-02,-17.0,1449,"Salt Lake City, UT",0.0,20.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-02-02,24.0,1770,"New York, NY",0.0,0.0,0.0,24.0,0.0,0.0
United Air Lines Inc.,2023-02-02,31.0,1660,"Midland/Odessa, TX",0.0,0.0,0.0,31.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-02,16.0,5077,"Hays, KS",0.0,16.0,0.0,0.0,0.0,0.0
Republic Airline,2023-02-02,16.0,3601,"Jacksonville, FL",0.0,0.0,0.0,16.0,0.0,0.0
Delta Air Lines Inc.,2023-02-02,-14.0,2895,"Kansas City, MO",0.0,394.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,2023-02-02,-10.0,5019,"Harrisburg, PA",0.0,110.0,0.0,34.0,0.0,48.0
American Airlines Inc.,2023-02-02,4.0,530,"Syracuse, NY",0.0,231.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-02,-20.0,4284,"International Falls, MN",0.0,18.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-02-03,-7.0,1292,"Fort Myers, FL",0.0,0.0,0.0,43.0,0.0,0.0
American Airlines Inc.,2023-02-03,-11.0,2455,"New Orleans, LA",0.0,4.0,0.0,0.0,0.0,23.0
Southwest Airlines Co.,2023-02-03,-30.0,1775,"Philadelphia, PA",0.0,0.0,0.0,0.0,0.0,16.0
Spirit Air Lines,2023-02-03,-12.0,1191,"Tampa, FL",0.0,7.0,0.0,73.0,0.0,0.0
Envoy Air,2023-02-03,-2.0,4232,"Austin, TX",0.0,2.0,0.0,0.0,0.0,125.0
American Airlines Inc.,2023-02-03,-4.0,1486,"Daytona Beach, FL",0.0,0.0,0.0,28.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-03,0.0,4917,"College Station/Bryan, TX",0.0,0.0,189.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-03,13.0,3963,"Augusta, GA",0.0,64.0,0.0,0.0,0.0,0.0
Republic Airline,2023-02-03,11.0,4373,"Chattanooga, TN",0.0,0.0,0.0,64.0,0.0,0.0
Hawaiian Airlines Inc.,2023-02-04,10.0,119,"Hilo, HI",0.0,0.0,0.0,24.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-04,0.0,3939,"Asheville, NC",0.0,0.0,0.0,103.0,0.0,0.0
Alaska Airlines Inc.,2023-02-04,-22.0,739,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,24.0
SkyWest Airlines Inc.,2023-02-04,-16.0,5368,"Kansas City, MO",0.0,27.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-02-04,21.0,1049,"Evansville, IN",0.0,0.0,0.0,21.0,0.0,0.0
American Airlines Inc.,2023-02-05,-19.0,1953,"Santa Ana, CA",0.0,72.0,0.0,0.0,0.0,24.0
Southwest Airlines Co.,2023-02-05,-8.0,101,"Providence, RI",0.0,0.0,0.0,27.0,0.0,0.0
Alaska Airlines Inc.,2023-02-05,1.0,1329,"Oakland, CA",0.0,0.0,0.0,0.0,0.0,40.0
Spirit Air Lines,2023-02-05,102.0,2907,"Santa Ana, CA",0.0,0.0,0.0,80.0,0.0,22.0
United Air Lines Inc.,2023-02-06,-13.0,369,"Boston, MA",0.0,198.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-02-06,-29.0,2087,"Tucson, AZ",0.0,0.0,0.0,119.0,0.0,34.0
Alaska Airlines Inc.,2023-02-06,29.0,64,"Petersburg, AK",0.0,0.0,0.0,0.0,0.0,29.0
Frontier Airlines Inc.,2023-02-06,-2.0,641,"Pensacola, FL",0.0,0.0,0.0,9.0,0.0,50.0
JetBlue Airways,2023-02-06,-20.0,2064,"Key West, FL",0.0,18.0,0.0,21.0,0.0,17.0
Envoy Air,2023-02-06,14.0,3624,"La Crosse, WI",0.0,0.0,0.0,58.0,0.0,0.0
Republic Airline,2023-02-07,-15.0,4648,"Washington, DC",0.0,0.0,0.0,20.0,0.0,0.0
Spirit Air Lines,2023-02-07,-20.0,1903,"Raleigh/Durham, NC",0.0,0.0,0.0,50.0,0.0,0.0
Delta Air Lines Inc.,2023-02-07,-10.0,2905,"San Jose, CA",0.0,0.0,0.0,15.0,0.0,0.0
Envoy Air,2023-02-07,-13.0,3538,"Jackson/Vicksburg, MS",0.0,0.0,22.0,0.0,0.0,0.0
Envoy Air,2023-02-07,-30.0,3658,"Lansing, MI",0.0,4.0,0.0,0.0,0.0,14.0
Envoy Air,2023-02-08,-19.0,3617,"Miami, FL",0.0,0.0,0.0,22.0,0.0,2.0
United Air Lines Inc.,2023-02-08,92.0,1216,"Eugene, OR",0.0,0.0,0.0,0.0,0.0,92.0
Southwest Airlines Co.,2023-02-09,-20.0,1549,"Baltimore, MD",0.0,5.0,0.0,0.0,0.0,18.0
SkyWest Airlines Inc.,2023-02-09,57.0,3760,"Cedar Rapids/Iowa City, IA",0.0,57.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-09,-2.0,3731,"Grand Rapids, MI",0.0,0.0,0.0,0.0,0.0,43.0
American Airlines Inc.,2023-02-09,6.0,2376,"Detroit, MI",0.0,1.0,0.0,0.0,0.0,14.0
Envoy Air,2023-02-09,-10.0,3447,"Baton Rouge, LA",0.0,0.0,0.0,2.0,0.0,14.0
Alaska Airlines Inc.,2023-02-09,8.0,1103,"Boise, ID",0.0,25.0,0.0,1.0,0.0,0.0
PSA Airlines Inc.,2023-02-09,-7.0,5317,"Pittsburgh, PA",0.0,0.0,0.0,0.0,0.0,41.0
Envoy Air,2023-02-09,-21.0,3433,"Manhattan/Ft. Riley, KS",0.0,0.0,0.0,0.0,0.0,25.0
Endeavor Air Inc.,2023-02-09,-23.0,4709,"Jacksonville/Camp Lejeune, NC",0.0,,,,,
United Air Lines Inc.,2023-02-10,-3.0,2163,"Tampa, FL",0.0,22.0,0.0,0.0,0.0,0.0
American Airlines Inc.,2023-02-10,16.0,2479,"Las Vegas, NV",0.0,16.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,2023-02-10,33.0,290,"Austin, TX",0.0,4.0,0.0,0.0,0.0,29.0
SkyWest Airlines Inc.,2023-02-10,-28.0,5449,"South Bend, IN",0.0,34.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-02-10,-27.0,2109,"Norfolk, VA",0.0,0.0,0.0,186.0,0.0,0.0
United Air Lines Inc.,2023-02-10,10.0,2441,"Palm Springs, CA",0.0,6.0,0.0,0.0,0.0,224.0
Delta Air Lines Inc.,2023-02-10,-2.0,2392,"Gainesville, FL",0.0,0.0,0.0,29.0,0.0,0.0
Endeavor Air Inc.,2023-02-11,-20.0,5088,"Indianapolis, IN",0.0,0.0,0.0,186.0,0.0,0.0
Endeavor Air Inc.,2023-02-11,-24.0,4650,"Knoxville, TN",0.0,26.0,0.0,0.0,0.0,0.0
Hawaiian Airlines Inc.,2023-02-11,-10.0,47,"Oakland, CA",0.0,26.0,0.0,0.0,0.0,0.0
American Airlines Inc.,2023-02-11,-7.0,2500,"Eagle, CO",0.0,0.0,0.0,4.0,0.0,74.0
Frontier Airlines Inc.,2023-02-11,0.0,2092,"Sacramento, CA",0.0,0.0,0.0,16.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-11,2.0,5609,"Jackson/Vicksburg, MS",0.0,55.0,0.0,0.0,0.0,0.0
Spirit Air Lines,2023-02-12,-11.0,590,"Houston, TX",0.0,32.0,0.0,4.0,0.0,1.0
Southwest Airlines Co.,2023-02-12,-22.0,2160,"Orlando, FL",0.0,0.0,0.0,20.0,0.0,0.0
PSA Airlines Inc.,2023-02-12,117.0,5267,"Milwaukee, WI",0.0,111.0,0.0,0.0,0.0,6.0
Frontier Airlines Inc.,2023-02-12,34.0,2007,"Austin, TX",0.0,34.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,2023-02-12,-34.0,1187,"Portland, ME",0.0,7.0,0.0,16.0,0.0,0.0
American Airlines Inc.,2023-02-13,-28.0,1701,"San Juan, PR",0.0,44.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-02-13,-2.0,2668,"Omaha, NE",0.0,19.0,0.0,9.0,0.0,30.0
Southwest Airlines Co.,2023-02-13,-10.0,2884,"Tulsa, OK",0.0,5.0,0.0,0.0,0.0,39.0
Envoy Air,2023-02-13,0.0,3402,"Hilton Head, SC",0.0,9.0,0.0,14.0,0.0,114.0
Hawaiian Airlines Inc.,2023-02-13,15.0,31,"Las Vegas, NV",0.0,15.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-02-13,-36.0,4737,"Marquette, MI",0.0,157.0,0.0,0.0,0.0,96.0
SkyWest Airlines Inc.,2023-02-13,7.0,3827,"Wilmington, NC",0.0,,,,,
Republic Airline,2023-02-14,-11.0,3464,"Chicago, IL",0.0,0.0,0.0,29.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-14,6.0,4641,"Scranton/Wilkes-Barre, PA",0.0,19.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-14,-11.0,3955,"Atlanta, GA",0.0,634.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-02-14,-25.0,5110,"Charleston/Dunbar, WV",0.0,,,,,
SkyWest Airlines Inc.,2023-02-14,-25.0,3782,"Mobile, AL",0.0,502.0,0.0,0.0,0.0,0.0
Republic Airline,2023-02-14,-2.0,5802,"Charleston, SC",0.0,0.0,0.0,24.0,0.0,0.0
Endeavor Air Inc.,2023-02-15,-25.0,4641,"Bangor, ME",0.0,0.0,0.0,0.0,0.0,40.0
Delta Air Lines Inc.,2023-02-15,-30.0,1309,"St. Louis, MO",0.0,0.0,0.0,21.0,0.0,0.0
Frontier Airlines Inc.,2023-02-15,-10.0,572,"Salt Lake City, UT",0.0,44.0,0.0,36.0,0.0,0.0
Allegiant Air,2023-02-15,-8.0,183,"Allentown/Bethlehem/Easton, PA",0.0,0.0,0.0,39.0,0.0,0.0
PSA Airlines Inc.,2023-02-15,-25.0,5409,"Chattanooga, TN",0.0,0.0,0.0,39.0,0.0,0.0
American Airlines Inc.,2023-02-15,-4.0,1203,"Buffalo, NY",0.0,0.0,0.0,0.0,0.0,33.0
Hawaiian Airlines Inc.,2023-02-15,284.0,79,"Ontario, CA",0.0,284.0,0.0,0.0,0.0,0.0
American Airlines Inc.,2023-02-16,89.0,2067,"Kansas City, MO",0.0,0.0,53.0,36.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-16,-1.0,3764,"Medford, OR",0.0,45.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,2023-02-16,-7.0,536,"Cleveland, OH",1.0,4.0,0.0,0.0,0.0,18.0
Southwest Airlines Co.,2023-02-16,5.0,2402,"Spokane, WA",0.0,0.0,0.0,77.0,0.0,18.0
SkyWest Airlines Inc.,2023-02-16,-16.0,3030,"Albuquerque, NM",0.0,38.0,0.0,0.0,0.0,0.0
Spirit Air Lines,2023-02-16,26.0,252,"Milwaukee, WI",0.0,0.0,0.0,26.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-16,337.0,5636,"Little Rock, AR",0.0,0.0,337.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-02-16,16.0,2688,"Traverse City, MI",0.0,16.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,2023-02-16,34.0,567,"Kansas City, MO",0.0,16.0,0.0,18.0,0.0,0.0
Frontier Airlines Inc.,2023-02-16,-30.0,675,"Norfolk, VA",0.0,0.0,0.0,59.0,0.0,31.0
Southwest Airlines Co.,2023-02-17,4.0,760,"Buffalo, NY",0.0,2.0,0.0,0.0,0.0,43.0
Southwest Airlines Co.,2023-02-17,-21.0,1583,"Fort Myers, FL",0.0,8.0,0.0,28.0,0.0,0.0
Endeavor Air Inc.,2023-02-17,5.0,4735,"Milwaukee, WI",0.0,0.0,0.0,28.0,0.0,0.0
PSA Airlines Inc.,2023-02-18,17.0,5247,"Des Moines, IA",0.0,0.0,0.0,0.0,0.0,17.0
United Air Lines Inc.,2023-02-18,-6.0,1009,"Detroit, MI",0.0,8.0,0.0,15.0,0.0,0.0
American Airlines Inc.,2023-02-18,-15.0,2955,"Jackson, WY",0.0,0.0,0.0,20.0,0.0,0.0
Republic Airline,2023-02-18,-7.0,3622,"San Antonio, TX",0.0,,,,,
Envoy Air,2023-02-19,-8.0,3638,"Cincinnati, OH",0.0,0.0,14.0,4.0,0.0,0.0
Envoy Air,2023-02-19,41.0,3543,"Santa Fe, NM",0.0,0.0,12.0,29.0,0.0,0.0
Republic Airline,2023-02-19,-12.0,5602,"Baltimore, MD",0.0,0.0,0.0,45.0,0.0,0.0
United Air Lines Inc.,2023-02-19,-6.0,1953,"Syracuse, NY",0.0,0.0,0.0,72.0,0.0,0.0
American Airlines Inc.,2023-02-20,-10.0,2193,"Tucson, AZ",0.0,0.0,0.0,0.0,0.0,268.0
SkyWest Airlines Inc.,2023-02-20,0.0,3072,"Sacramento, CA",0.0,0.0,0.0,0.0,24.0,0.0
Southwest Airlines Co.,2023-02-20,4.0,2156,"Myrtle Beach, SC",0.0,1.0,0.0,0.0,0.0,15.0
Allegiant Air,2023-02-20,19.0,530,"Plattsburgh, NY",0.0,0.0,0.0,2.0,0.0,17.0
Allegiant Air,2023-02-20,14.0,277,"Oakland, CA",0.0,23.0,0.0,0.0,0.0,70.0
Endeavor Air Inc.,2023-02-21,-15.0,4808,"Asheville, NC",0.0,0.0,0.0,79.0,0.0,0.0
Spirit Air Lines,2023-02-21,-3.0,212,"Charlotte Amalie, VI",0.0,45.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-02-21,-4.0,1289,"Charleston, SC",0.0,0.0,0.0,15.0,0.0,0.0
Alaska Airlines Inc.,2023-02-21,-33.0,873,"Kona, HI",0.0,0.0,0.0,0.0,0.0,16.0
SkyWest Airlines Inc.,2023-02-21,-15.0,5044,"Meridian, MS",0.0,81.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-21,-20.0,3714,"Long Beach, CA",1.0,16.0,0.0,0.0,0.0,0.0
American Airlines Inc.,2023-02-21,44.0,1663,"Fayetteville, AR",0.0,20.0,0.0,0.0,0.0,24.0
Alaska Airlines Inc.,2023-02-21,13.0,832,"Lihue, HI",0.0,0.0,0.0,0.0,0.0,48.0
JetBlue Airways,2023-02-21,-2.0,1882,"Houston, TX",0.0,21.0,0.0,0.0,0.0,382.0
Republic Airline,2023-02-22,-17.0,4804,"Oklahoma City, OK",0.0,0.0,0.0,25.0,0.0,0.0
United Air Lines Inc.,2023-02-22,98.0,1584,"Salt Lake City, UT",0.0,28.0,0.0,30.0,0.0,40.0
Allegiant Air,2023-02-22,24.0,582,"Grand Rapids, MI",0.0,0.0,0.0,24.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-22,1.0,5005,"Grand Island, NE",0.0,17.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-22,19.0,5571,"Santa Barbara, CA",0.0,19.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,2023-02-23,-20.0,5519,"Tulsa, OK",0.0,12.0,0.0,0.0,0.0,6.0
American Airlines Inc.,2023-02-23,-3.0,2046,"San Jose, CA",0.0,0.0,0.0,19.0,0.0,0.0
Allegiant Air,2023-02-23,60.0,669,"Idaho Falls, ID",0.0,9.0,0.0,21.0,0.0,30.0
Hawaiian Airlines Inc.,2023-02-24,-1.0,347,"Kona, HI",0.0,13.0,0.0,0.0,0.0,18.0
Southwest Airlines Co.,2023-02-24,42.0,241,"New Orleans, LA",0.0,10.0,0.0,0.0,0.0,32.0
Endeavor Air Inc.,2023-02-24,44.0,4700,"State College, PA",0.0,0.0,0.0,44.0,0.0,0.0
PSA Airlines Inc.,2023-02-24,-5.0,5140,"Nashville, TN",0.0,1.0,0.0,54.0,0.0,21.0
Endeavor Air Inc.,2023-02-24,-15.0,4919,"Brunswick, GA",0.0,0.0,0.0,0.0,0.0,67.0
American Airlines Inc.,2023-02-24,1.0,2404,"Palm Springs, CA",0.0,0.0,0.0,0.0,0.0,103.0
PSA Airlines Inc.,2023-02-24,88.0,5581,"Huntsville, AL",0.0,6.0,0.0,0.0,0.0,82.0
Spirit Air Lines,2023-02-24,-9.0,1349,"Oakland, CA",0.0,0.0,0.0,2.0,0.0,30.0
Allegiant Air,2023-02-24,-13.0,464,"Palm Springs, CA",0.0,,,,,
JetBlue Airways,2023-02-24,3.0,944,"Bozeman, MT",1.0,147.0,0.0,13.0,0.0,0.0
Envoy Air,2023-02-24,13.0,3434,"Fresno, CA",0.0,144.0,0.0,30.0,0.0,95.0
SkyWest Airlines Inc.,2023-02-25,3.0,3928,"Columbus, OH",0.0,109.0,0.0,0.0,0.0,0.0
Allegiant Air,2023-02-25,17.0,1593,"Santa Ana, CA",0.0,6.0,0.0,0.0,0.0,11.0
United Air Lines Inc.,2023-02-25,23.0,490,"Providence, RI",0.0,0.0,0.0,23.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-26,-6.0,4926,"Stillwater, OK",0.0,26.0,0.0,0.0,0.0,0.0
Spirit Air Lines,2023-02-26,0.0,512,"Austin, TX",0.0,0.0,0.0,66.0,0.0,0.0
Allegiant Air,2023-02-26,-12.0,2302,"Minot, ND",0.0,0.0,145.0,1.0,0.0,27.0
United Air Lines Inc.,2023-02-26,10.0,735,"Fort Lauderdale, FL",0.0,0.0,0.0,0.0,0.0,528.0
American Airlines Inc.,2023-02-26,-11.0,526,"Boise, ID",0.0,97.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-02-26,-7.0,4644,"Key West, FL",0.0,45.0,0.0,0.0,0.0,0.0
Allegiant Air,2023-02-26,7.0,363,"Charleston, SC",0.0,14.0,0.0,0.0,0.0,11.0
American Airlines Inc.,2023-02-27,-13.0,2456,"Indianapolis, IN",0.0,0.0,0.0,10.0,0.0,9.0
Frontier Airlines Inc.,2023-02-27,-8.0,502,"Denver, CO",0.0,4.0,0.0,0.0,0.0,21.0
JetBlue Airways,2023-02-27,15.0,906,"Chicago, IL",0.0,0.0,0.0,15.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-27,-2.0,5680,"Houston, TX",0.0,75.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-02-27,-19.0,229,"Baltimore, MD",0.0,0.0,0.0,26.0,0.0,0.0
Southwest Airlines Co.,2023-02-27,-17.0,1470,"Corpus Christi, TX",0.0,0.0,0.0,52.0,0.0,0.0
American Airlines Inc.,2023-02-27,-6.0,1354,"Salt Lake City, UT",0.0,3.0,0.0,0.0,0.0,23.0
Envoy Air,2023-02-28,-29.0,3635,"Moline, IL",0.0,0.0,0.0,42.0,0.0,0.0
Republic Airline,2023-02-28,6.0,3412,"Syracuse, NY",0.0,0.0,0.0,27.0,0.0,0.0
Delta Air Lines Inc.,2023-02-28,-30.0,2838,"Cleveland, OH",0.0,39.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-02-28,-1.0,4717,"Rapid City, SD",0.0,0.0,64.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-02-28,32.0,2121,"Burbank, CA",0.0,15.0,0.0,0.0,0.0,17.0
JetBlue Airways,2023-02-28,116.0,2050,"Palm Springs, CA",0.0,28.0,0.0,0.0,0.0,88.0
Republic Airline,2023-02-28,-7.0,4670,"Rochester, MN",0.0,0.0,0.0,3.0,0.0,29.0
Envoy Air,2023-03-01,24.0,3735,"Allentown/Bethlehem/Easton, PA",0.0,0.0,0.0,24.0,0.0,0.0
SkyWest Airlines Inc.,2023-03-01,20.0,3941,"Norfolk, VA",0.0,20.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-03-02,-2.0,1578,"Houston, TX",0.0,0.0,0.0,27.0,0.0,0.0
Republic Airline,2023-03-02,-21.0,4682,"Wilmington, NC",0.0,0.0,0.0,52.0,0.0,4.0
Southwest Airlines Co.,2023-03-02,-1.0,1119,"Louisville, KY",0.0,2.0,0.0,0.0,0.0,14.0
American Airlines Inc.,2023-03-02,83.0,2263,"Albany, NY",0.0,83.0,0.0,0.0,0.0,0.0
Envoy Air,2023-03-02,102.0,3385,"Colorado Springs, CO",0.0,0.0,0.0,13.0,0.0,89.0
Southwest Airlines Co.,2023-03-02,-23.0,4579,"Syracuse, NY",0.0,13.0,0.0,0.0,0.0,13.0
Delta Air Lines Inc.,2023-03-02,18.0,2579,"Reno, NV",0.0,18.0,0.0,0.0,0.0,0.0
Allegiant Air,2023-03-02,32.0,1241,"Evansville, IN",0.0,0.0,0.0,11.0,0.0,21.0
Envoy Air,2023-03-03,-17.0,3615,"Wichita, KS",0.0,0.0,0.0,25.0,0.0,0.0
Southwest Airlines Co.,2023-03-03,17.0,888,"Rochester, NY",0.0,0.0,0.0,17.0,0.0,0.0
Endeavor Air Inc.,2023-03-03,-4.0,5004,"Charleston, SC",0.0,5.0,0.0,28.0,0.0,12.0
American Airlines Inc.,2023-03-03,45.0,922,"Bakersfield, CA",0.0,45.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,2023-03-03,2.0,5336,"Providence, RI",0.0,14.0,0.0,1.0,0.0,0.0
Endeavor Air Inc.,2023-03-03,99.0,4799,"Baton Rouge, LA",0.0,0.0,0.0,0.0,0.0,99.0
Delta Air Lines Inc.,2023-03-03,37.0,1664,"Eagle, CO",0.0,21.0,0.0,16.0,0.0,0.0
Delta Air Lines Inc.,2023-03-04,39.0,540,"Boston, MA",0.0,0.0,39.0,0.0,0.0,0.0
Hawaiian Airlines Inc.,2023-03-04,29.0,71,"Long Beach, CA",0.0,29.0,0.0,0.0,0.0,0.0
JetBlue Airways,2023-03-04,216.0,2036,"Detroit, MI",0.0,216.0,0.0,0.0,0.0,0.0
JetBlue Airways,2023-03-04,58.0,55,"Syracuse, NY",0.0,24.0,0.0,10.0,0.0,24.0
Alaska Airlines Inc.,2023-03-04,32.0,489,"New Orleans, LA",0.0,0.0,0.0,0.0,0.0,32.0
Alaska Airlines Inc.,2023-03-04,-16.0,153,"Nome, AK",1.0,0.0,0.0,0.0,0.0,30.0
American Airlines Inc.,2023-03-04,7.0,415,"Scranton/Wilkes-Barre, PA",0.0,0.0,0.0,0.0,0.0,36.0
SkyWest Airlines Inc.,2023-03-05,25.0,3897,"Moline, IL",0.0,25.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-03-05,-23.0,4986,"Providence, RI",0.0,118.0,0.0,0.0,0.0,0.0
Allegiant Air,2023-03-05,20.0,2891,"Bristol/Johnson City/Kingsport, TN",0.0,0.0,0.0,0.0,0.0,20.0
Republic Airline,2023-03-05,90.0,3605,"Sarasota/Bradenton, FL",0.0,13.0,0.0,0.0,0.0,77.0
Delta Air Lines Inc.,2023-03-06,24.0,2295,"Minneapolis, MN",0.0,0.0,0.0,24.0,0.0,0.0
Delta Air Lines Inc.,2023-03-06,-22.0,513,"Washington, DC",0.0,55.0,0.0,0.0,0.0,11.0
Allegiant Air,2023-03-06,-21.0,1193,"Sanford, FL",0.0,103.0,0.0,0.0,0.0,0.0
Allegiant Air,2023-03-06,107.0,3190,"Appleton, WI",0.0,0.0,0.0,107.0,0.0,0.0
Alaska Airlines Inc.,2023-03-06,-2.0,46,"Bethel, AK",0.0,0.0,0.0,0.0,29.0,0.0
SkyWest Airlines Inc.,2023-03-06,0.0,5078,"Gillette, WY",0.0,0.0,0.0,0.0,0.0,170.0
SkyWest Airlines Inc.,2023-03-06,22.0,4744,"Jackson, WY",0.0,22.0,0.0,0.0,0.0,0.0
Republic Airline,2023-03-06,11.0,3442,"Buffalo, NY",0.0,15.0,0.0,3.0,0.0,0.0
SkyWest Airlines Inc.,2023-03-07,-9.0,4714,"Colorado Springs, CO",0.0,0.0,0.0,22.0,0.0,0.0
United Air Lines Inc.,2023-03-07,-15.0,2358,"New Orleans, LA",0.0,0.0,0.0,21.0,0.0,85.0
American Airlines Inc.,2023-03-07,-27.0,675,"Honolulu, HI",0.0,0.0,0.0,0.0,0.0,50.0
Republic Airline,2023-03-07,-12.0,4337,"St. Louis, MO",0.0,9.0,0.0,0.0,0.0,15.0
SkyWest Airlines Inc.,2023-03-07,-21.0,5238,"Gunnison, CO",0.0,0.0,0.0,0.0,0.0,181.0
PSA Airlines Inc.,2023-03-07,542.0,5019,"Scranton/Wilkes-Barre, PA",0.0,0.0,542.0,0.0,0.0,0.0
Spirit Air Lines,2023-03-07,-16.0,2080,"Rochester, NY",0.0,0.0,0.0,62.0,0.0,0.0
Republic Airline,2023-03-08,-5.0,4256,"Houston, TX",0.0,0.0,0.0,24.0,0.0,24.0
Frontier Airlines Inc.,2023-03-08,-32.0,1023,"Chicago, IL",0.0,12.0,0.0,30.0,0.0,11.0
Envoy Air,2023-03-08,-8.0,3728,"Fort Myers, FL",0.0,0.0,0.0,1.0,0.0,46.0
Delta Air Lines Inc.,2023-03-08,-23.0,2705,"Palm Springs, CA",0.0,0.0,0.0,16.0,0.0,0.0
JetBlue Airways,2023-03-08,-10.0,144,"West Palm Beach/Palm Beach, FL",0.0,0.0,0.0,18.0,0.0,0.0
SkyWest Airlines Inc.,2023-03-08,2.0,5848,"Sioux Falls, SD",0.0,0.0,36.0,0.0,0.0,0.0
American Airlines Inc.,2023-03-08,6.0,1461,"Charlotte Amalie, VI",0.0,0.0,0.0,14.0,0.0,19.0
Republic Airline,2023-03-08,-9.0,3477,"Greensboro/High Point, NC",0.0,18.0,0.0,0.0,0.0,3.0
American Airlines Inc.,2023-03-09,28.0,2629,"Miami, FL",0.0,24.0,0.0,0.0,0.0,4.0
Southwest Airlines Co.,2023-03-09,-1.0,2806,"San Juan, PR",0.0,0.0,0.0,0.0,0.0,123.0
Delta Air Lines Inc.,2023-03-09,-11.0,2201,"Kalispell, MT",0.0,0.0,0.0,0.0,0.0,187.0
Alaska Airlines Inc.,2023-03-09,0.0,517,"Fort Lauderdale, FL",0.0,141.0,0.0,0.0,0.0,0.0
Envoy Air,2023-03-09,-20.0,3573,"Reno, NV",0.0,0.0,0.0,19.0,0.0,0.0
United Air Lines Inc.,2023-03-09,1.0,1445,"Charlotte Amalie, VI",0.0,0.0,0.0,16.0,0.0,0.0
