AIRLINE,FL_DATE,ARR_DELAY,FL_NUMBER,ORIGIN_CITY,CANCELLED,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Envoy Air,2023-01-09,-14.0,3519,"Houston, TX",0.0,13.0,0.0,44.0,0.0,42.0
Envoy Air,2023-01-09,11.0,4222,"Lafayette, LA",0.0,0.0,0.0,24.0,0.0,17.0
Endeavor Air Inc.,2023-01-09,-2.0,5463,"Albany, NY",0.0,0.0,0.0,131.0,0.0,0.0
JetBlue Airways,2023-01-09,-21.0,1826,"San Antonio, TX",0.0,0.0,0.0,32.0,0.0,0.0
Frontier Airlines Inc.,2023-01-09,-18.0,1075,"Grand Rapids, MI",0.0,0.0,0.0,32.0,0.0,0.0
Endeavor Air Inc.,2023-01-09,-13.0,4718,"Evansville, IN",0.0,0.0,0.0,0.0,0.0,18.0
SkyWest Airlines Inc.,2023-01-09,-7.0,3915,"Rochester, MN",0.0,,,,,
Envoy Air,2023-01-09,-23.0,3467,"Sioux Falls, SD",0.0,39.0,0.0,7.0,0.0,0.0
Allegiant Air,2023-01-09,17.0,863,"Traverse City, MI",0.0,0.0,0.0,17.0,0.0,0.0
Delta Air Lines Inc.,2023-01-10,-11.0,2936,"Sarasota/Bradenton, FL",0.0,47.0,0.0,0.0,0.0,77.0
Frontier Airlines Inc.,2023-01-10,-25.0,2347,"Philadelphia, PA",0.0,0.0,0.0,19.0,0.0,0.0
Alaska Airlines Inc.,2023-01-10,11.0,543,"Dallas/Fort Worth, TX",0.0,0.0,0.0,15.0,0.0,0.0
Hawaiian Airlines Inc.,2023-01-11,46.0,45,"San Jose, CA",0.0,32.0,14.0,0.0,0.0,0.0
American Airlines Inc.,2023-01-11,193.0,671,"Raleigh/Durham, NC",0.0,0.0,0.0,193.0,0.0,0.0
Delta Air Lines Inc.,2023-01-11,163.0,2546,"Raleigh/Durham, NC",0.0,0.0,0.0,163.0,0.0,0.0
Spirit Air Lines,2023-01-11,-18.0,430,"Seattle, WA",0.0,13.0,0.0,1.0,0.0,8.0
United Air Lines Inc.,2023-01-11,-4.0,362,"Honolulu, HI",0.0,0.0,0.0,36.0,0.0,0.0
Southwest Airlines Co.,2023-01-11,9.0,3111,"Ontario, CA",0.0,0.0,0.0,18.0,0.0,30.0
SkyWest Airlines Inc.,2023-01-11,4.0,5029,"Johnstown, PA",0.0,28.0,0.0,0.0,0.0,0.0
Spirit Air Lines,2023-01-11,61.0,1169,"Nashville, TN",0.0,0.0,0.0,61.0,0.0,0.0
JetBlue Airways,2023-01-11,-9.0,2332,"Sarasota/Bradenton, FL",0.0,6.0,0.0,0.0,0.0,38.0
SkyWest Airlines Inc.,2023-01-11,64.0,4939,"Wichita Falls, TX",0.0,0.0,0.0,64.0,0.0,0.0
Endeavor Air Inc.,2023-01-11,42.0,5196,"Chicago, IL",0.0,0.0,0.0,0.0,0.0,42.0
JetBlue Airways,2023-01-11,87.0,458,"Burbank, CA",0.0,22.0,0.0,0.0,0.0,65.0
SkyWest Airlines Inc.,2023-01-11,-12.0,5321,"New Orleans, LA",0.0,,,,,
Frontier Airlines Inc.,2023-01-11,149.0,1299,"Newburgh/Poughkeepsie, NY",0.0,0.0,0.0,0.0,0.0,149.0
